Category;Subcategory;Supplier;Brand;Region;Year;Month;Units Month;Values Month
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;4;8970;$53680
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;5;10090;$60430
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;6;9160;$54870
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;7;8920;$53460
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;8;7950;$47590
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;9;9130;$54650
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;10;9090;$54500
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;11;8320;$49830
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2019;12;7170;$42940
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;1;9510;$56950
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;2;8580;$51400
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;3;9210;$55150
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;4;9710;$58170
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;5;8700;$52090
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;6;8440;$50620
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;7;9010;$53980
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;8;6450;$38660
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;9;8040;$48140
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;10;8820;$52820
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;11;8270;$49540
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2020;12;8360;$50090
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;1;8490;$50870
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;2;7360;$44080
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;3;7460;$44660
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;4;8910;$53390
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;5;7490;$44890
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;6;7520;$45060
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;7;8200;$49100
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;8;7780;$46650
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;9;7490;$44860
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;10;7990;$47890
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;11;6780;$40610
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2021;12;8170;$48930
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;1;7000;$41950
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;2;7460;$44680
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;3;8030;$48110
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;4;6830;$40960
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;5;7390;$44290
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;6;7610;$45560
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;7;7030;$42120
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;8;5880;$35260
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;9;4800;$28730
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;10;3350;$20450
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;11;2210;$15180
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2022;12;1750;$12010
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2023;1;4310;$29820
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2023;2;5570;$38540
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;North;2023;3;5790;$40100
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;1;6920;$37540
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;2;6790;$36850
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;3;8100;$43940
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;4;5200;$28230
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;5;6630;$35970
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;6;7450;$40430
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;7;4090;$22180
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;8;3820;$20770
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;9;6120;$33200
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;10;6160;$33480
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;11;7020;$38120
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2018;12;5440;$29540
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;1;6830;$40910
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;2;5020;$30010
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;3;5120;$30660
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;4;5270;$31590
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;5;5360;$32130
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;6;5720;$34290
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;7;4120;$24670
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;8;3380;$20270
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;9;4530;$27140
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;10;4960;$29710
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;11;4890;$29260
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2019;12;4510;$26970
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;1;4140;$24800
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;2;3940;$23570
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;3;3980;$23840
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;4;3860;$23100
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;5;4380;$26240
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;6;5120;$30700
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;7;3450;$20690
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;8;3260;$19520
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;9;4600;$27540
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;10;4330;$25960
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;11;3350;$20030
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2020;12;3390;$20340
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;1;3520;$21090
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;2;3850;$23050
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;3;4110;$24640
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;4;4030;$24120
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;5;3210;$19190
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;6;5170;$30920
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;7;3340;$19990
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;8;3310;$19870
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;9;3510;$21050
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;10;3640;$21810
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;11;3350;$20050
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2021;12;3920;$23470
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;1;4310;$25810
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;2;3700;$22150
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;3;4120;$24710
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;4;4150;$24870
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;5;3730;$22370
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;6;4450;$26640
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;7;3200;$19170
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;8;3010;$18060
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;9;2560;$15340
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;10;1990;$12140
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;11;1740;$11900
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2022;12;830;$5720
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2023;1;2150;$14950
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2023;2;2100;$14480
Shampoo;Anti-dandruff;Apex Trading Co.;RedRose;South;2023;3;2500;$17330
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;1;24570;$152340
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;2;17270;$107120
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;3;23310;$144530
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;4;12430;$77110
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;5;22130;$137220
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;6;22950;$142250
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;7;23980;$148670
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;8;21100;$130810
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;9;22790;$141310
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;10;24020;$148920
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;11;20000;$123960
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2018;12;22520;$152320
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;1;19950;$145690
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;2;17990;$131370
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;3;20400;$148970
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;4;20120;$146900
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;5;20990;$153180
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;6;18190;$132830
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;7;16160;$118010
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;8;16500;$120440
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;9;19860;$145050
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;10;16690;$121880
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;11;16380;$119570
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2019;12;17060;$124580
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;1;17060;$124510
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;2;16190;$118200
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;3;21660;$158080
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;4;15280;$111540
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;5;14810;$108090
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;6;18410;$134340
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;7;18960;$138340
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;8;14140;$103190
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;9;15460;$112820
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;10;16460;$120130
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;11;15840;$115610
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2020;12;16580;$121030
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;1;14690;$107210
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;2;12860;$93840
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;3;16120;$117690
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;4;14910;$108860
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;5;15110;$110330
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;6;17400;$126960
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;7;16030;$117040
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;8;13890;$101380
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;9;14710;$107380
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;10;14660;$107040
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;11;15290;$111600
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2021;12;16640;$121430
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;1;15920;$116180
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;2;13170;$96160
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;3;15760;$115090
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;4;14700;$107270
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;5;14260;$104120
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;6;14950;$109150
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;7;12870;$93920
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;8;14420;$105210
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;9;14560;$106300
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;10;13700;$99990
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;11;11950;$87230
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2022;12;11930;$87070
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2023;1;7760;$56610
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2023;2;6050;$44160
Shampoo;Anti-dandruff;AquaSolutions;Oasis;Center;2023;3;3340;$24350
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;1;15380;$95390
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;2;13450;$83380
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;3;12810;$79430
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;4;7420;$45990
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;5;11300;$70080
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;6;13350;$82750
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;7;11520;$71430
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;8;13040;$80850
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;9;10830;$67130
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;10;14910;$92470
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;11;11550;$71590
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2018;12;11920;$80480
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;1;12300;$89780
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;2;11430;$83440
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;3;11640;$84960
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;4;12680;$92540
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;5;12780;$93280
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;6;12970;$94690
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;7;9650;$70470
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;8;11700;$85430
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;9;9200;$67180
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;10;10560;$77060
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;11;9890;$72150
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2019;12;9780;$71320
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;1;8690;$63430
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;2;11110;$81120
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;3;12810;$93500
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;4;10510;$76730
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;5;9070;$66170
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;6;10870;$79400
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;7;10230;$74710
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;8;9460;$69050
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;9;10570;$77180
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;10;10270;$74970
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;11;8210;$59930
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2020;12;9730;$71040
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;1;9210;$67240
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;2;8160;$59590
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;3;9350;$68220
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;4;9380;$68500
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;5;8620;$62920
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;6;8410;$61410
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;7;9050;$66070
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;8;8820;$64400
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;9;9090;$66400
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;10;9170;$66970
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;11;8790;$64150
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2021;12;7940;$57940
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;1;8520;$62170
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;2;8280;$60480
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;3;8840;$64540
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;4;7560;$55190
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;5;7980;$58300
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;6;8090;$59080
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;7;9290;$67840
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;8;8300;$60520
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;9;7490;$54650
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;10;9530;$69540
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;11;4230;$30880
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2022;12;3690;$26950
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2023;1;2250;$16430
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2023;2;1120;$8190
Shampoo;Anti-dandruff;AquaSolutions;Oasis;North;2023;3;1420;$10410
Shampoo;Anti-dandruff;AquaSolutions;Oasis;South;2018;1;7780;$48210
Shampoo;Anti-dandruff;AquaSolutions;Oasis;South;2018;2;6830;$42310
Shampoo;Anti-dandruff;AquaSolutions;Oasis;South;2018;3;4850;$30080
Shampoo;Anti-dandruff;AquaSolutions;Oasis;South;2018;4;2430;$15080
